Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Heart Points,Heart Minutes,Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Dancing duration (ms),Treadmill running duration (ms),Swimming duration (ms),Yoga duration (ms)
2019-10-23,1712.6546838540419,5138.019763171673,42.3117826,-71.0473422,42.3197356,-71.0378836,0.8488657292536316,18.904932022094727,0.03319438546895981,7902,,,,100,30.0,30,406173,81234783,3972441,,,,,
2019-10-24,1836.0500685500215,11362.887162029743,42.3119949,-71.1199876,42.3791601,-71.0367359,1.316412649315442,17.45627784729004,0.2890418767929077,7796,,,,118,75.0,74,2162583,76699412,4282447,,,,,
2019-10-25,1727.664746468703,4189.959337890148,42.3136471,-71.1178924,42.3468996,-71.0358037,1.1578277482737758,15.177879333496094,0.2600894570350647,12904,,,,158,50.0,48,,79370142,4672489,,,,,
2019-10-26,1806.9547651916541,4090.9497924995376,42.2977817,-71.3961415,42.3444252,-71.0980017,1.868068445067071,22.884798049926758,0.09269200265407562,10178,,,,114,35.0,35,,66187544,6175581,,,,,
2019-10-27,1601.5340866578736,2837.027576446533,42.3309106,-71.1184682,42.3493048,-71.0797023,1.005514387040237,11.798388481140137,0.09048541635274887,5578,,,,64,22.0,22,,79891518,2239201,,,,,
2019-10-28,1699.4530024408875,3727.8203382641077,42.3115998,-71.1219708,42.3343691,-71.036219,1.1025867576787458,18.141691207885742,0.2517748475074768,7585,,,,81,28.0,27,,70516390,4214710,,,,,
2019-10-29,1746.8496031456002,6944.547799497843,42.3120803,-71.1184563,42.3656855,-71.0368528,0.9862585332744245,17.543622970581055,0.19594646990299225,8226,,,,89,35.0,35,150791,72203181,4105555,,,,,
2019-10-30,1887.0159454624245,9450.460762947798,42.3121705,-71.1185153,42.3568489,-71.0351143,0.9473233454138216,15.344831466674805,0.04470951855182648,12892,,,,142,77.0,77,493040,71511186,7060219,,,,,
2019-10-31,1746.734568897937,6929.737202346325,42.3136276,-71.1188536,42.3791419,-71.0406711,1.2843275258296372,14.799665451049805,0.08031351119279861,9325,,,,93,50.0,50,,72431915,4843362,,,,,
2019-11-01,1976.9074781027318,8781.684091925621,42.3125388,-71.118909,42.3568508,-71.0355261,1.0305735079394742,15.336640357971191,0.09668249636888504,15078,,,,170,62.0,61,,64824394,9076877,47433,,,,
2019-11-02,1864.7151621300363,8723.264061450958,42.3308536,-71.1190613,42.3603247,-71.0490386,1.0358493783004132,15.368266105651855,0.11930622905492783,13348,,,,139,63.0,60,,69911218,7178210,,,,,
2019-11-03,1667.217977181975,2962.410067617893,42.2540516,-71.1693369,42.3421182,-71.1174928,1.7102831745829463,29.727611541748047,0.0728999599814415,4499,,,,60,8.0,8,316834,78455039,2172054,,,,,
2019-11-04,1883.1987533789707,8398.740312814713,42.3119271,-71.1184189,42.3612683,-71.0350679,0.9541313577246266,12.183920860290527,0.035905517637729645,13795,,,,140,63.0,63,,74858560,7436276,,,,,
2019-11-05,1708.9887489760952,4876.532540909946,42.3118465,-71.0633711,42.3568078,-71.0381242,1.2346250194882962,13.599227905273438,0.1981153041124344,6912,,,,70,24.0,24,,76472855,4219624,,,,,
2019-11-06,1672.4390178948984,4616.555906921625,42.3131576,-71.0720754,42.3612683,-71.0349673,1.2328132100085571,6.099862575531006,0.13325659930706024,7903,,,,87,28.0,28,,76325943,3717663,,,,,
2019-11-07,2068.507184867308,12759.013139992952,42.3108704,-71.1212215,42.3790644,-71.0363995,1.2266063374919216,14.549604415893555,0.21603819727897644,18764,,,,189,113.0,112,,68307457,10539375,76321,,,,
2019-11-08,1729.243520997038,6328.343725442886,42.3123774,-71.1177543,42.3612683,-71.0349683,1.2535123343336092,18.307361602783203,0.24728405475616455,6671,,,,76,30.0,30,532909,73769936,3627078,130195,,,,
