Book_ID,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My_Rating,Average_Rating,Publisher,Binding,Page_Number,Year_Published,Original_Publication_Year,Date_Read,Date_Added,Bookshelves,Bookshelves_With_Positions,Exclusive_Shelf,My_Review,Spoiler,Private_Notes,Read_Count,Recommended_For,Recommended_By,Owned_Copies,Original_Purchase_Date,Original_Purchase_Location,Condition,Condition_Description,BCID
18166920,Beyond Magenta: Transgender Teens Speak Out,Susan Kuklin,"Kuklin, Susan",,0763656119,9780763656119,5,3.86,Candlewick Press,Hardcover,182,2014,2014,7/14/2015,7/13/2015,,,read,,,,1,,,0,,,,,
21470740,Speaking OUT: Queer Youth in Focus,Rachelle Lee Smith,"Smith, Rachelle Lee","Candace Gingrich, Graeme Taylor",1629630411,9781629630410,5,3.43,PM Press,Paperback,128,2014,2014,7/14/2015,7/13/2015,,,read,,,,1,,,0,,,,,
17234658,"A Thousand Pieces of You (Firebird, #1)",Claudia Gray,"Gray, Claudia",,0062278967,9780062278968,5,3.92,Harper Teen,Hardcover,368,2014,2014,3/31/2015,3/31/2015,,,read,,,,1,,,0,,,,,
1302576,The Silent Landscape: The Scientific Voyage of HMS Challenger,Richard Corfield,"Corfield, Richard",,0309095093,9780309095099,5,3.68,Joseph Henry Press,Paperback,285,2003,2003,7/13/2015,4/13/2015,,,read,,,,1,,,0,,,,,
1768603,The White Tiger,Aravind Adiga,"Adiga, Aravind",,1416562591,9781416562597,3,3.73,Free Press,Hardcover,320,2008,2008,5/5/2015,5/5/2015,,,read,"I didn't like it that much, but I wanted to keep reading it as the events unfolded they were horrific!",,,1,,,0,,,,,
20309175,My True Love Gave to Me: Twelve Holiday Stories,Stephanie Perkins,"Perkins, Stephanie","Holly Black, Ally Carter, Matt de la Pena, Gayle Forman, Jenny Han, David Levithan, Kelly Link, Myra McEntire, Rainbow Rowell, Laini Taylor, Kiersten White, Jim Tierney",1250059305,9781250059307,3,3.7, St. Martin’s Griffin,Hardcover,321,2014,2014,4/13/2015,4/13/2015,,,read,,,,1,,,0,,,,,
18225810,Sisters,Raina Telgemeier,"Telgemeier, Raina",,0545540607,9780545540605,4,4.31,Scholastic/Graphix,Paperback,199,2014,2014,2/9/2015,2/9/2015,,,read,,,,1,,,0,,,,,
13436373,Drama,Raina Telgemeier,"Telgemeier, Raina",Gurihiru,0545326990,9780545326995,3,4.17,Graphix,Paperback,238,2012,2012,,2/9/2015,,,read,,,,1,,,0,,,,,
21413662,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,"Munroe, Randall",,0544272994,9780544272996,4,4.17,Houghton Mifflin Harcourt,Hardcover,303,2014,2014,2/9/2015,2/9/2015,,,read,,,,1,,,0,,,,,
17934647,Push Girl,Chelsie Hill,"Hill, Chelsie",Jessica  Love,1250045916,9781250045911,2,3.99,St. Martin's Griffin,Hardcover,240,2014,2014,2/9/2015,2/9/2015,,,read,,,,1,,,0,,,,,
19150422,The Extreme Life of the Sea,Stephen R. Palumbi,"Palumbi, Stephen R.",Anthony R. Palumbi,1400849934,9781400849932,4,3.99,Princeton University Press,ebook,240,2014,2014,2/9/2015,11/3/2014,,,read,,,,1,,,0,,,,,
21874813,"As Chimney Sweepers Come to Dust (Flavia de Luce, #7)",Alan Bradley,"Bradley, Alan",,0345539931,9780345539939,4,3.94,Delacorte Press,Hardcover,392,2015,2015,2/9/2015,1/8/2015,,,read,,,,1,,,0,,,,,
22571275,"All Fall Down (Embassy Row, #1)",Ally Carter,"Carter, Ally",,0545654742,9780545654746,1,3.83,Scholastic Press,Hardcover,310,2015,2015,1/26/2015,1/26/2015,,,read,,,,1,,,0,,,,,
21469086,Alex As Well,Alyssa Brugman,"Brugman, Alyssa",,1627790144,9781627790147,1,3.54,Henry Holt and Co. (BYR),Hardcover,224,2015,2013,1/26/2015,1/26/2015,,,read,,,,1,,,0,,,,,
3181564,The Housekeeper and the Professor,Yōko Ogawa,"Ogawa, Yōko",Stephen Snyder,0312427808,9780312427801,5,3.94,Picador,Paperback,180,2009,2003,1/13/2015,1/13/2015,,,read,,,,1,,,0,,,,,
509734,The Manny Files,Christian  Burch,"Burch, Christian",,141690039X,9781416900399,4,4.05,Atheneum,Hardcover,304,2006,2006,,1/6/2015,,,read,,,,1,,,0,,,,,
8852,Macbeth,William Shakespeare,"Shakespeare, William","Linda Alchin, Antoni Cimolino, Shelagh O'Brien",0743477103,9780743477109,4,3.89,Simon  Schuster,Mass Market Paperback,246,2013,1606,1/2/2015,1/2/2015,,,read,,,,1,,,0,,,,,
270363,The Bermudez Triangle,Maureen Johnson,"Johnson, Maureen",,1595141553,9781595141552,3,3.5,Razorbill,Paperback,384,2007,2004,1/2/2015,1/2/2015,,,read,,,,1,,,0,,,,,
