home,destination,time_home,time_brookline_village,time_green_line,time_at_park,time_red_line,time_jfk_umb,time_umb,walk_or_shuttle,delayed_mbta,late,Notes,GENERAL THOUGHTS
11/19/2019,home,NA,NA,NA,NA,12:14,12:06,11:55,shuttle,N,NA,,
11/19/2019,home,3:49,3:46,3:26,NA,NA,NA,NA,NA,N,NA,,
11/20/2019,school,7:46,7:49,8:02,8:31,8:32,8:44,8:55,shuttle,N,N,,
11/20/2019,home,6:57,6:54,6:35,6:33,6:22,6:21,6:09,shuttle,N,NA,,
11/21/2019,school,NA,NA,NA,NA,3:26,3:40,3:50,bike,N,N,,
11/18/2019,home,6:42,6:39,6:20,6:15,6:01,6:00,5:49,shuttle,N,NA,,
11/21/2019,home,7:02,6:59,6:34,6:34,6:21,6:21,6:08,shuttle,N,NA,,
11/22/2019,school,7:43,7:45,7:48,8:10,8:14,8:26,8:36,shuttle,N,N,"not standard shuttle behavior, got off and walked",
11/22/2019,home,NA,NA,NA,NA,4:55,4:51,4:43,shuttle,N,NA,,
11/25/2019,school,NA,NA,NA,8:25,8:27,NA,NA,NA,N,N,,
11/25/2019,home,NA,NA,NA,NA,1:09,1:02,12:54,shuttle,N,NA,,
11/25/2019,home,2:02,1:59,1:35,NA,NA,NA,NA,NA,N,NA,,
11/26/2019,school,NA,NA,NA,NA,3:20,3:30,3:43,bike,N,N,,
11/26/2019,home,NA,NA,NA,5:59,5:48,5:42,5:31,shuttle,N,NA,,
11/27/2019,school,7:36,7:39,7:40,8:02,8:16,NA,NA,NA,N,N,,
11/27/2019,home,NA,NA,NA,2:55,2:44,2:37,2:29,shuttle,N,NA,,
12/2/2019,school,NA,NA,NA,NA,3:41,3:49,3:56,shuttle,N,N,,
12/2/2019,school,7:40,7:42,7:46,8:10,8:16,8:28,8:39,shuttle,N,N,,
12/4/2019,school,7:48,7:51,7:52,8:13,8:15,8:26,8:37,shuttle,N,N,,
12/4/2019,home,NA,NA,NA,NA,NA,4:39,4:30,shuttle,N,NA,,
12/5/2019,school,NA,NA,NA,NA,3:25,3:37,3:46,shuttle,N,N,,
12/5/2019,home,NA,NA,NA,5:50,5:39,5:38,5:25,shuttle,N,NA,,
12/6/2019,school,7:46,7:49,8:01,8:25,8:28,8:41,NA,NA,N,N,,
12/9/2019,school,7:48,7:50,8:03,8:33,8:35,8:47,8:57,shuttle,Y,N,,
12/6/2019,home,6:53,6:50,6:31,6:30,6:17,6:16,6:03,shuttle,N,N,,
12/10/2019,school,7:58,8:01,8:07,8:31,8:31,8:41,9:02,walk,N,N,,
12/9/2019,home,6:04,6:01,5:34,5:31,5:17,5:16,5:05,shuttle,N,N,,
12/10/2019,home,NA,NA,NA,5:51,5:39,5:38,5:27,shuttle,N,N,,
12/11/2019,school,7:51,7:54,7:59,8:21,8:23,8:43,8:41,shuttle,N,N,,
12/13/2019,home,2:43,2:40,2:18,2:14,2:04,1:56,1:48,shuttle,N,NA,,
12/16/2019,school,10:32,10:35,10:38,10:57,11:03,11:14,11:23,shuttle,N,N,,
16-Dec,school,NA,7:49,7:50,8:11,8:14,NA,NA,NA,N,N,,
12/18/2019,home,NA,NA,NA,NA,9:53,9:48,9:37,shuttle,N,NA,,
12/18/2019,home,10:40,10:37,10:19,NA,NA,NA,NA,NA,N,NA,,
12/18/2019,school,6:39,6:42,6:44,7:06,7:09,7:21,7:42,walk,N,N,,
12/19/2019,school,NA,NA,NA,NA,2:25,2:37,2:47,shuttle,N,N,,
12/19/2019,home,6:46,6:43,6:24,6:20,6:00,5:58,5:48,shuttle,Y,N,,
